County,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
01025,01,2,1,9,317,15,0.8860145513338723,0.5194017784963622,0.24575586095392077,1000.0,25.0,214.798606305578,0.0,390.8140107573653,1000.0,3.0,28.698257073565077,0.0,123.43936266963823,2
01027,01,1,1,4,461,7,0.8134196586227193,0.5544437904649794,0.1347851677457328,2000.0,25.0,153.2378575632725,0.0,338.2467155476266,1000.0,3.0,7.687515008828723,0.0,35.886540920081735,1
01029,01,2,1,4,392,9,0.7562189054726368,0.58017604286261,0.3723689246077306,100.0,25.0,46.61565862992729,0.0,43.35223352247551,50.0,3.0,19.605547646383467,0.0,23.4615034809259,2
01031,01,4,1,16,296,13,0.8291896869244936,0.6558471454880295,0.4098756906077348,1000.0,25.0,417.6180046040516,0.0,482.30705915063646,1000.0,4.0,207.56094014732966,0.0,394.64648043281585,4
01033,01,4,1,15,504,15,0.8757776856076317,0.6576109498133554,0.38151527720171435,1200.0,25.0,396.4730601410203,0.0,533.3717240117613,1000.0,4.0,69.92927360707867,0.0,230.05943793025162,4
01035,01,1,1,5,268,12,0.9132530120481928,0.485140562248996,0.13413654618473897,1200.0,18.0,133.64482248995984,0.0,315.6689039241284,50.0,1.5,7.799632128514056,0.0,15.438022384603547,1
01037,01,1,1,3,317,10,0.9028776978417267,0.7868705035971223,0.4919064748201439,1000.0,60.0,491.81148561151076,0.0,488.2645217940592,1000.0,5.0,148.13688129496404,0.0,334.75191409639615,1
01039,01,3,1,14,456,14,0.873921698739217,0.6219862862198628,0.2924131829241318,2000.0,25.0,362.38525857111256,0.0,574.7078950853243,2000.0,3.0,131.26490267639903,0.0,462.9881594119491,3
01041,01,1,1,6,319,12,0.858195211786372,0.6869244935543278,0.30448127685696746,1000.0,25.0,257.9753836709638,0.0,411.11722909937987,1000.0,3.0,227.33935297728667,0.0,412.395377884849,1
01043,01,3,1,22,578,16,0.9538190175851194,0.7326420439360736,0.32727564273878884,1000.0,25.0,309.81827056496877,0.0,441.86211324020553,1000.0,4.0,78.71055203378054,0.0,247.85840573501255,3
01045,01,6,1,14,376,11,0.8420027497708524,0.6738084326306141,0.39676901924839597,1200.0,40.0,403.9332186067828,0.0,477.3932154567092,1000.0,4.0,182.4217380843263,0.0,374.6117918582234,6
01047,01,2,1,17,307,14,0.8634036453000205,0.6606594306778619,0.4190047102191276,1000.0,25.0,384.04012205611303,0.0,472.9787040662366,1000.0,4.0,19.597588367806676,0.0,34.243547374481075,2
01049,01,2,1,21,485,13,0.9667014250955857,0.875634341327772,0.39555092109836637,1000.0,25.0,399.15216044490785,0.0,475.0905053321257,1000.0,10.0,247.7031172749392,0.0,421.90195037431045,2
