LEADID,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
0100001,01,1,2,2,262,6,0.824203821656051,0.6636942675159235,0.43821656050955415,1000.0,25.0,444.5016458598726,0.0,488.0878053246302,1000.0,3.0,116.8879770700637,0.0,301.4764148786876,1
0100003,01,1,1,2,96,9,0.8648648648648649,0.8351351351351352,0.5891891891891892,1000.0,1000.0,595.7027027027027,0.0,484.893739364678,1000.0,35.0,40.38661621621622,0.0,124.95676654948586,1
0100005,01,1,1,9,341,13,0.9291941314054859,0.7833297894960664,0.4860727195407187,1000.0,50.0,486.35628662555814,0.0,488.57414460029406,1000.0,15.0,198.5443665745269,0.0,383.4604829153511,1
0100006,01,1,1,26,406,16,0.9482838805692494,0.8229932099339596,0.4583759650265092,1000.0,30.0,462.94736638452235,0.0,485.9537510003874,1000.0,15.0,182.45480866896102,0.0,369.4680851249294,1
0100007,01,1,2,39,324,19,0.8821772886272502,0.6864601996416688,0.39621192730995647,1000.0,25.0,345.09486221312176,0.0,454.0829979940596,1000.0,4.0,88.4546368057333,0.0,261.41486083266113,1
0100008,01,1,2,15,377,15,0.9033136631865638,0.7217430776214253,0.42442124375851115,2000.0,25.0,432.1654934180663,0.0,521.6050414676554,1000.0,5.0,160.42040308669993,0.0,348.53277551903125,1
0100011,01,1,3,9,330,11,0.9172594533882441,0.8333957319356047,0.5106701609883939,1000.0,100.0,457.431225758143,0.0,477.2673843567737,1000.0,35.0,92.90282590789967,0.0,248.9100867446864,1
0100012,01,1,2,6,299,12,0.9231052244297278,0.768579838116262,0.48933038999264167,1200.0,50.0,487.43080058866815,0.0,489.20930321030283,1000.0,15.0,153.67855923473144,0.0,342.093319375466,1
0100013,01,1,2,9,423,14,0.9001522070015221,0.7601217656012177,0.3726027397260274,1000.0,25.0,357.162100456621,0.0,459.3561126127896,1000.0,4.0,38.76254368340944,0.0,144.80891595035328,1
0100030,01,1,1,6,242,12,0.8938299055030573,0.7431906614785992,0.44357976653696496,1000.0,25.0,444.36454030016677,0.0,486.51944208448174,1000.0,4.0,35.001885491939966,0.0,134.38005288447735,1
0100060,01,1,1,5,262,13,0.85052754982415,0.6483001172332943,0.3645955451348183,2000.0,25.0,465.1536107854631,0.0,645.0066795438054,2000.0,3.0,198.09159085580305,0.0,568.5285084035869,1
0100090,01,1,1,17,398,13,0.931656311562358,0.6816184270343991,0.3752083649037733,1000.0,25.0,348.96233853614183,0.0,458.35421002563214,1000.0,4.0,63.85511562357933,0.0,208.19987069343068,1
0100100,01,1,2,5,303,10,0.9708255741775295,0.8693358162631906,0.3441961514587213,1000.0,30.0,354.70049658597145,0.0,460.71613278407654,1000.0,15.0,171.17021104903787,0.0,361.4373230138386,1
0100120,01,1,1,13,338,14,0.9497639282341832,0.7550519357884797,0.44041548630783756,2000.0,25.0,414.7947391879131,0.0,476.77064867440225,1000.0,5.0,47.691679697828135,0.0,169.58432209371978,1
0100180,01,1,1,5,235,9,0.9523809523809523,0.7074829931972789,0.4272108843537415,1200.0,25.0,483.0976326530612,0.0,568.2180427035565,1000.0,4.0,46.35140952380952,0.0,172.1440080011839,1
0100185,01,1,1,9,296,12,0.9189080690485749,0.6503412284223203,0.37735849056603776,1200.0,25.0,386.9462143717383,0.0,513.2080294485136,1000.0,5.0,105.7585869128864,0.0,287.73892931411757,1
0100188,01,1,1,7,186,11,0.8689230769230769,0.6633846153846154,0.5150769230769231,1200.0,100.0,537.8221243076923,0.0,547.5485103104377,1000.0,20.0,209.49712984615385,0.0,392.5839125987755,1
0100189,01,1,1,4,220,10,0.928,0.6728,0.4112,1200.0,25.0,402.3669152,0.0,501.77630104693463,1000.0,5.0,124.1437408,0.0,309.15495294409726,1
0100190,01,1,1,16,281,12,0.941218298174923,0.7193647783835032,0.3780516710120882,1000.0,25.0,347.4275221616497,0.0,456.4079369450425,1000.0,5.0,68.29687129651576,0.0,226.11615019640803,1
0100194,01,1,1,15,249,14,0.8921498449057504,0.669052732044858,0.36626103555237416,1000.0,25.0,317.55201240753996,0.0,443.8721428901029,1000.0,4.0,45.263490813648296,0.0,175.21103268120345,1
0100195,01,1,1,9,268,13,0.8795180722891566,0.7443687794656888,0.4709271870089052,1000.0,25.0,459.7502902042954,0.0,486.9686627902595,1000.0,5.0,90.22262545835515,0.0,257.59223269200123,1
0100202,01,1,1,7,239,11,0.7951635846372689,0.6657183499288762,0.3669985775248933,2000.0,30.0,317.55726315789474,0.0,443.70807227657775,2000.0,3.0,46.341944523470836,0.0,159.59942638022412,1
0100210,01,1,1,27,357,15,0.8828161185734136,0.7471051412691061,0.51528485409912,1000.0,500.0,483.1283344140806,0.0,476.0395213365293,1000.0,35.0,114.52236452061139,0.0,268.6373212200201,1
0100240,01,1,1,17,245,13,0.8897546897546897,0.7327561327561327,0.47445887445887447,1000.0,25.0,466.63957633477634,0.0,488.0292350656963,1000.0,5.0,141.18086695526696,0.0,327.19967349485825,1
0100270,01,1,1,43,503,25,0.9022020725388601,0.7435233160621761,0.4441238813000471,2000.0,40.0,285.4368791804051,0.0,385.4948868294376,2000.0,5.0,66.95601519076779,0.0,211.76711592820308,1
0100300,01,1,1,9,238,12,0.8804515135967163,0.6003078501795792,0.30066700872242175,1000.0,25.0,298.8188486403284,0.0,443.3335619476826,1000.0,3.0,27.78343047716778,0.0,126.49704221706217,1
0100330,01,1,1,22,451,16,0.944572305331799,0.7497123130034522,0.392692750287687,1200.0,25.0,360.1241261986958,0.0,460.81071389469486,1000.0,4.0,97.50796394322977,0.0,276.0419167599411,1
0100360,01,1,1,8,234,13,0.9090350338045482,0.5703749231714813,0.08912108174554395,1000.0,25.0,82.49284572833434,0.0,235.95159107146068,1000.0,2.0,64.27725998770744,0.0,237.62644790282852,1
