StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
27,331,87,1503,2019,137,0.9521993528133504,0.7831310306148063,0.46279832080166283,10000.0,60.0,650.5617557558336,0.0,1854.6031477388808,10000.0,10.0,555.5018548535323,0.0,1862.0987215355017,331
28,138,82,877,1226,70,0.9023296302915352,0.645317967727616,0.3095537325393028,10000.0,25.0,311.4546445829322,0.0,474.93010520688927,10000.0,5.0,151.9594140354316,0.0,361.416635623859,138
29,515,115,1654,2597,150,0.7517287126495418,0.5172148051834939,0.23248074542276084,10000.0,25.0,175.07977045060065,0.0,365.0245691775279,10000.0,3.0,82.20356395498037,0.0,256.92691666509256,516
30,398,56,319,3216,67,0.8649473031618103,0.624703037817731,0.2715685058896466,1000.0,25.0,210.45989132796032,0.0,361.6029787143378,1000.0,4.0,109.3224071766894,0.0,270.2587210701683,400
31,244,93,553,2475,91,0.766723978321475,0.6551666501145642,0.27108264937681337,5000.0,25.0,137.14647408472786,0.0,283.15437117694916,5000.0,3.0,66.42491036770497,0.0,195.97498229242322,244
32,17,17,776,2484,70,0.8013821287537882,0.5643998530627239,0.31809624391587843,1000.0,25.0,252.94348962255486,0.0,409.1738235192188,1000.0,3.0,59.12031681054275,0.0,206.51949627452743,17
33,179,10,349,829,35,0.6252521442511111,0.5313642848943044,0.27813219191935756,3000.0,25.0,327.2980304267729,0.0,538.2597511971287,3000.0,2.0,132.8573812202415,0.0,397.331260857979,179
34,542,21,2178,1037,65,0.483969297482811,0.3921005948032975,0.2822370633181444,10000.0,3.0,312.1581019165884,0.0,614.8997971872715,10000.0,0.75,109.2667701485269,0.0,476.61346972237914,558
35,89,33,612,4661,71,0.9522062255412344,0.4711413492262952,0.2557175169640613,5000.0,20.0,174.3957190751445,0.0,369.8186420166483,10000.0,5.0,88.9303528524755,0.0,357.7700210735486,89
36,681,62,5389,1297,116,0.8774177949709865,0.6363683260521577,0.45868280197425465,2000.0,25.0,404.40523646243247,0.0,470.5580406813217,2000.0,4.0,118.14676347608051,0.0,288.00233065145295,681
37,118,100,2669,990,105,0.7553326969364601,0.5781949313790347,0.3443417063337291,10000.0,25.0,350.3854723091941,0.0,683.587730125353,10000.0,3.0,132.28596391715922,0.0,591.442723234495,118
